k01_low,k01_up,k02_low,k02_up,k12_low,k12_up,k21_low,k21_up
0.7562500000000001,0.8,0.475,0.475,0.6,0.6187499999999999,0.775,0.8
0.7562500000000001,0.8,0.475,0.475,0.6187499999999999,0.6325176239013672,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.371875,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9985577533275366,1.004718017578125,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9985577533275366,1.004718017578125,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.371875,0.375,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9781860351562499,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9781860351562499,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.375,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.375,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9781860351562499,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9781860351562499,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.375,0.39999999999999997,0.9746658325195312,0.9781860351562499,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.375,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.375,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9851282702160391,0.9985577533275366,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9786504914984107,0.9851282702160391,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9985577533275366,1.0014015197753907,0.775,0.8
0.753125,0.753125,0.3375,0.3375,1.0014015197753907,1.0058223724365238,0.775,0.8
0.753125,0.753125,0.3375,0.3375,1.0014015197753907,1.0058223724365238,0.775,0.8
0.753125,0.753125,0.3375,0.3375,1.0014015197753907,1.0058223724365238,0.775,0.775
0.753125,0.753125,0.3375,0.3375,1.0014015197753907,1.0058223724365238,0.775,0.775
0.753125,0.753125,0.3375,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.3375,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.3375,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.3375,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.70625,0.70625,0.35,0.35,0.9746658325195312,0.9786504914984107,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9262001037597656,0.9301644086837768,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9301644086837768,0.9327026367187501,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9262001037597656,0.9301644086837768,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.70625,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.70625,0.70625,0.39375000000000004,0.39999999999999997,0.9710266113281251,0.9746658325195312,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9392253021644137,0.9516540527343749,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9327026367187501,0.9392253021644137,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9392253021644137,0.9516540527343749,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9638938575983047,0.9708034882304417,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9708034882304417,0.9710266113281251,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9392253021644137,0.9516540527343749,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9327026367187501,0.9392253021644137,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9392253021644137,0.9516540527343749,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.70625,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.70625,0.753125,0.39375000000000004,0.39999999999999997,0.9555237207791378,0.9638938575983047,0.775,0.8
0.753125,0.753125,0.39375000000000004,0.39999999999999997,0.9516540527343749,0.9555237207791378,0.775,0.8
